"surgery" "Age" "rectal_temperature" "pulse" "respiratory_rate" "temp_extremities" "peripheral_pulse" "mucous_membranes" "capillary_refill_time" "pain" "peristalsis" "abdominal_distension" "nasogastric_tube" "nasogastric_reflux" "nasogastric_reflux_PH" "rectal_examination" "abdomen" "packed_cell_volume" "total_protein" "abdominocentesis_appearance" "abdomcentesis_total_protein" "outcome" "surgical_lesion"
"no" "adult" 38.5 66 28 "cool" "reduced" NA ">=3" "continuous_severe_pain" "absent" "severe" NA NA NA "decreased" "distended_large_intestine" 45 8.4 NA NA "died" "no"
"yes" "adult" 39.2 88 20 NA NA "pale_cyanotic" "<3" "intermittent_mild_pain" "absent" "slight" NA NA NA "absent" "other" 50 85 "cloudy" 2 "euthanized" "no"
"no" "adult" 38.3 40 24 "normal" "normal" "pale_pink" "<3" "intermittent_mild_pain" "hypomotile" "none" NA NA NA "normal" "normal" 33 6.7 NA NA "lived" "no"
"yes" "young" 39.1 164 84 "cold" "normal" "dark_cyanotic" ">=3" "depressed" "absent" "severe" "none" ">1l" 5 "decreased" NA 48 7.2 "serosanguinous" 5.3 "died" "yes"
"no" "adult" 37.3 104 35 NA NA "dark_cyanotic" ">=3" NA NA NA NA NA NA NA NA 74 7.4 NA NA "died" "no"
"no" "adult" NA NA NA "warm" "normal" "pale_pink" "<3" "depressed" "hypomotile" "slight" "slight" "none" NA "decreased" "firm_feces_in_large_intestine" NA NA NA NA "lived" "no"
"yes" "adult" 37.9 48 16 "normal" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "none" "none" NA "decreased" "distended_large_intestine" 37 7 NA NA "lived" "yes"
"yes" "adult" NA 60 NA "cool" NA NA "<3" NA "absent" "slight" "slight" "none" NA "decreased" "distended_small_intestine" 44 8.3 NA NA "died" "yes"
"no" "adult" NA 80 36 "cool" "absent" "pale_pink" "<3" "intermittent_severe_pain" "absent" "severe" "slight" "none" NA "decreased" "distended_large_intestine" 38 6.2 NA NA "euthanized" "yes"
"no" "young" 38.3 90 NA "normal" NA "normal_pink" "<3" "continuous_severe_pain" "hypomotile" "none" "slight" "none" NA "decreased" NA 40 6.2 "clear" 2.2 "lived" "no"
"yes" "adult" 38.1 66 12 "cool" "reduced" "bright_red" "<3" "intermittent_mild_pain" "hypomotile" "none" "slight" "none" 3 "increased" "distended_large_intestine" 44 6 "cloudy" 3.6 "lived" "yes"
"no" "adult" 39.1 72 52 "warm" NA "bright_pink" "<3" "depressed" "hypermotile" "slight" "none" "none" NA "absent" "distended_small_intestine" 50 7.8 NA NA "lived" "yes"
"yes" "adult" 37.2 42 12 "warm" "normal" "normal_pink" "<3" "intermittent_mild_pain" "hypomotile" "moderate" "significant" "none" NA "absent" "distended_large_intestine" NA 7 NA NA "lived" "no"
"no" "young" 38 92 28 "normal" "normal" "bright_pink" "<3" "alert_no_pain" "hypomotile" "slight" "significant" NA 7.2 "normal" "normal" 37 6.1 "clear" NA "died" "no"
"yes" "adult" 38.2 76 28 "cool" "normal" "normal_pink" "<3" "intermittent_mild_pain" "absent" "none" "slight" ">1l" NA "absent" "distended_small_intestine" 46 81 "clear" 2 "lived" "yes"
"yes" "adult" 37.6 96 48 "cool" "normal" "pale_cyanotic" "<3" "continuous_severe_pain" "hypomotile" "moderate" "slight" "<1l" 4.5 "absent" NA 45 6.8 NA NA "died" "yes"
"yes" "young" NA 128 36 "cool" "reduced" "pale_cyanotic" ">=3" "intermittent_severe_pain" "absent" "moderate" "significant" NA NA "absent" "distended_large_intestine" 53 7.8 "serosanguinous" 4.7 "died" "no"
"no" "adult" 37.5 48 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "lived" "no"
"yes" "adult" 37.6 64 21 "normal" "normal" "bright_pink" "<3" "depressed" "hypomotile" "none" "none" "none" NA "increased" "distended_large_intestine" 40 7 "clear" NA "lived" "yes"
"no" "adult" 39.4 110 35 "cold" "reduced" "dark_cyanotic" NA NA "hypomotile" "moderate" NA NA NA NA NA 55 8.7 NA NA "lived" "no"
"yes" "adult" 39.9 72 60 "normal" "normal" "bright_red" ">=3" "continuous_severe_pain" "absent" "severe" "significant" "none" NA "absent" "distended_small_intestine" 46 6.1 "cloudy" NA "lived" "yes"
"no" "adult" 38.4 48 16 "normal" NA "normal_pink" "<3" "alert_no_pain" "hypomotile" "none" "slight" "<1l" 5.5 "absent" "firm_feces_in_large_intestine" 49 6.8 NA NA "lived" "no"
