"x" "y" "class"
0 0.25 "white"
0 0.5 "white"
0 0.75 "white"
0 1 "white"
0 1.25 "white"
0 1.5 "white"
0 1.75 "white"
0 2 "black"
0 2.25 "black"
0 2.5 "black"
0 2.75 "black"
0 3 "black"
0 3.25 "black"
0 3.5 "black"
0 3.75 "black"
0 4 "black"
0 4.25 "white"
0 4.5 "white"
0 4.75 "white"
0 5 "white"
0 5.25 "white"
0 5.5 "white"
0 5.75 "white"
0 6 "white"
-0.25 0 "black"
-0.25 0.25 "white"
-0.25 0.5 "white"
-0.25 0.75 "white"
-0.25 1 "white"
-0.25 1.25 "white"
-0.25 1.5 "white"
-0.25 1.75 "white"
-0.25 2 "white"
-0.25 2.25 "black"
-0.25 2.5 "black"
-0.25 2.75 "black"
-0.25 3 "black"
-0.25 3.25 "black"
-0.25 3.5 "black"
-0.25 3.75 "black"
-0.25 4 "white"
-0.25 4.25 "white"
-0.25 4.5 "white"
-0.25 4.75 "white"
-0.25 5 "white"
-0.25 5.25 "white"
-0.25 5.5 "white"
-0.25 5.75 "white"
-0.5 0 "black"
-0.5 0.25 "white"
-0.5 0.5 "white"
-0.5 0.75 "white"
-0.5 1 "white"
-0.5 1.25 "white"
-0.5 1.5 "white"
-0.5 1.75 "white"
-0.5 2 "white"
-0.5 2.25 "black"
-0.5 2.5 "black"
-0.5 2.75 "black"
-0.5 3 "black"
-0.5 3.25 "black"
-0.5 3.5 "black"
-0.5 3.75 "black"
-0.5 4 "white"
-0.5 4.25 "white"
-0.5 4.5 "white"
-0.5 4.75 "white"
-0.5 5 "white"
-0.5 5.25 "white"
-0.5 5.5 "white"
-0.5 5.75 "white"
-0.75 0 "black"
-0.75 0.25 "white"
-0.75 0.5 "white"
-0.75 0.75 "white"
-0.75 1 "white"
-0.75 1.25 "white"
-0.75 1.5 "white"
-0.75 1.75 "white"
-0.75 2 "white"
-0.75 2.25 "white"
-0.75 2.5 "black"
-0.75 2.75 "black"
-0.75 3 "black"
-0.75 3.25 "black"
-0.75 3.5 "black"
-0.75 3.75 "white"
-0.75 4 "white"
-0.75 4.25 "white"
-0.75 4.5 "white"
-0.75 4.75 "white"
-0.75 5 "white"
-0.75 5.25 "white"
-0.75 5.5 "white"
-0.75 5.75 "white"
-1 0 "black"
-1 0.25 "white"
-1 0.5 "white"
-1 0.75 "white"
-1 1 "white"
-1 1.25 "white"
-1 1.5 "white"
-1 1.75 "white"
-1 2 "white"
-1 2.25 "white"
-1 2.5 "white"
-1 2.75 "white"
-1 3 "black"
-1 3.25 "white"
-1 3.5 "white"
-1 3.75 "white"
-1 4 "white"
-1 4.25 "white"
-1 4.5 "white"
-1 4.75 "white"
-1 5 "white"
-1 5.25 "white"
-1 5.5 "white"
-1 5.75 "white"
-1.25 0 "black"
-1.25 0.25 "black"
-1.25 0.5 "white"
-1.25 0.75 "white"
-1.25 1 "white"
-1.25 1.25 "white"
-1.25 1.5 "white"
-1.25 1.75 "white"
-1.25 2 "white"
-1.25 2.25 "white"
-1.25 2.5 "white"
-1.25 2.75 "white"
-1.25 3 "white"
-1.25 3.25 "white"
-1.25 3.5 "white"
-1.25 3.75 "white"
-1.25 4 "white"
-1.25 4.25 "white"
-1.25 4.5 "white"
-1.25 4.75 "white"
-1.25 5 "white"
-1.25 5.25 "white"
-1.25 5.5 "white"
-1.25 5.75 "black"
-1.5 0 "black"
-1.5 0.25 "black"
-1.5 0.5 "white"
-1.5 0.75 "white"
-1.5 1 "white"
-1.5 1.25 "white"
-1.5 1.5 "white"
-1.5 1.75 "white"
-1.5 2 "white"
-1.5 2.25 "white"
-1.5 2.5 "white"
-1.5 2.75 "white"
-1.5 3 "white"
-1.5 3.25 "white"
-1.5 3.5 "white"
-1.5 3.75 "white"
-1.5 4 "white"
-1.5 4.25 "white"
-1.5 4.5 "white"
-1.5 4.75 "white"
-1.5 5 "white"
-1.5 5.25 "white"
-1.5 5.5 "white"
-1.5 5.75 "black"
-1.75 0 "black"
-1.75 0.25 "black"
-1.75 0.5 "black"
-1.75 0.75 "white"
-1.75 1 "white"
-1.75 1.25 "white"
-1.75 1.5 "white"
-1.75 1.75 "white"
-1.75 2 "white"
-1.75 2.25 "white"
-1.75 2.5 "white"
-1.75 2.75 "white"
-1.75 3 "white"
-1.75 3.25 "white"
-1.75 3.5 "white"
-1.75 3.75 "white"
-1.75 4 "white"
-1.75 4.25 "white"
-1.75 4.5 "white"
-1.75 4.75 "white"
-1.75 5 "white"
-1.75 5.25 "white"
-1.75 5.5 "black"
-2 0 "black"
-2 0.25 "black"
-2 0.5 "black"
-2 0.75 "black"
-2 1 "white"
-2 1.25 "white"
-2 1.5 "white"
-2 1.75 "white"
-2 2 "white"
-2 2.25 "white"
-2 2.5 "white"
-2 2.75 "white"
-2 3 "white"
-2 3.25 "white"
-2 3.5 "white"
-2 3.75 "white"
-2 4 "white"
-2 4.25 "white"
-2 4.5 "white"
-2 4.75 "white"
-2 5 "white"
-2 5.25 "black"
-2 5.5 "black"
-2.25 0 "black"
-2.25 0.25 "black"
-2.25 0.5 "black"
-2.25 0.75 "black"
-2.25 1 "black"
-2.25 1.25 "white"
-2.25 1.5 "white"
-2.25 1.75 "white"
-2.25 2 "white"
-2.25 2.25 "white"
